state,date,tweet_count,total_likes,sentiment_avg,total_retweets,total_followers,most_common_issues,most_common_derogatory_language,most_common_adjectives,top_10_user_screen_name,most_common_hashtag,top_hashtags,top_cleaned_tweet,states_code
Montana,2020-10-24,14,21.0,0.16176428571428572,2.0,40075.0,"climate, covid, order, medicare",rage,alive,"['KatieCatUSA', 'elianselmi', 'CeystalGriffin', 'kimberlyaliceMT', 'FrancesKuffel', 'knkcattle', 'InBrokenCountry', 'DZnutts1', 'Hope4Caregiver', 'BrandonMCrane2']",#biden,['#biden'],['last night joebiden claimed he would not ban fracking even though caught on video amp audio saying he would but he also claimed he would start banning phasing out the oil companies my  year old can hold a better lie than this brainless old decrepit bag of bones'],MT
Montana,2020-10-25,11,9.0,0.14004545454545456,1.0,3363.0,"covid, pandemic",violence,fake trumplandslide crooked,"['InBrokenCountry', 'DZnutts1', 'Wiscer', 'jorgeinmontana', 'morbek1']",#biden,['#biden'],['if the media is propaganda aka fakenews most certainly the poll numbers are fake as well trumplandslide biden is a crooked corpse crookedjoe'],MT
Montana,2020-10-26,12,12.0,0.08216666666666668,2.0,48866.0,climate,"illegal, illegal",covid,"['InBrokenCountry', 'TheDailyClimate', 'SFFMT', 'PineTreeMT', 'elianselmi', 'KatieCatUSA', 'morbek1', 'ericbikesMT', 'MT4LtdGov']",#biden,['#biden'],['at this point i have to conclude that anyone voting biden has to simply have zero morals and be clinically insane'],MT
Montana,2020-10-27,9,12.0,-0.047300000000000016,3.0,39852.0,blacklivesmatter,war,civil armed,"['TheDailyClimate', 'DZnutts1', 'MrsNickiHoerner', '_Not_Relevant', '1darrahanne', 'ResistLibIdiots', 'AssholeMctrump', 'RandyAW']",#trump,['#trump'],['blm blacklivesmatter phillyprotests biden is a joke yo'],MT
Montana,2020-10-28,19,25.0,0.08215263157894735,4.0,24889.0,corrupt,riot,certain magat,"['InBrokenCountry', 'RandyAW', 'JOHNABRINK1', 'elianselmi', 'jv1here', 'SFFMT', 'JJBlood_', '1darrahanne', 'jilly751', '_Not_Relevant']",#biden,['#biden'],['joebiden lied guilty of selling his office for'],MT
Montana,2020-10-29,15,1649.0,0.1560666666666667,705.0,238418.0,covid,"criminal, criminal",live live mtal mtgov,"['InBrokenCountry', 'Flag_Wavers', 'KJJRAM', 'DZnutts1', 'lindhays', 'MtnMurray', 'GrrrGraphics', 'NewsWeTrust', 'morbek1', 'schulzzy']",#biden,['#biden'],['rush limbaugh is live on kjjr amp mtpol idpol ndpol sdpol wypol election live radio mtsen mtal mtgov mtnews montana mtvote trump biden usa'],MT
Montana,2020-10-30,16,10.0,0.21414375,1.0,47379.0,climate,No derogatory_language,hispanic,"['The_Grk', 'TheDailyClimate', 'JOHNABRINK1', 'KJJRAM', 'RandyAW', 'Flag_Wavers', 'InBrokenCountry', '_Not_Relevant']",#trump,['#trump'],['biden trails clintons  hispanic voter numbers can you say bloodbath maga trump gop election election bidencorruption sleepyjoe trump pelosineedstogo redwave trump vote'],MT
Montana,2020-10-31,9,17.0,-0.11944444444444444,2.0,8832.0,"patriots, maga",rage,bad,"['InBrokenCountry', 'SFFMT', 'LaurieNeal64', 'The_Grk', 'RandyAW', 'HektikNiemand', 'gumbo1968', 'Dr_JohnSF']",#biden,['#biden'],['the nurse in montana i am broken we are broken i live in montana i am broken for our first responders what can we do please advise trump supporters what do you recommend i have voted joebiden'],MT
Montana,2020-11-01,12,5.0,0.09043333333333332,0.0,26887.0,"climate, energy",war,independent last full,"['InBrokenCountry', 'SturgillJennin2', 'RogViking', 'MT4LtdGov', 'CabalClair', 'elianselmi', '406Llama']",#biden,['#biden'],['independent voters breaking for trump at the last minute like they did in  has democrats in a full on panic trump biden '],MT
Montana,2020-11-02,22,7.0,-0.011131818181818182,0.0,30659.0,corrupt,racism,live live mtal mtgov,"['InBrokenCountry', 'RandyAW', 'KJJRAM', 'KatieCatUSA', 'm010nlab3', 'jilly751', 'Hannah_Faith_US', 'TheDailyClimate', 'ChancePipal', 'VikingSumo']",#biden,['#biden'],['rush limbaugh is live on kjjr amp mtpol idpol ndpol sdpol wypol election live radio mtsen mtal mtgov mtnews montana mtvote trump biden usa'],MT
Montana,2020-11-03,16,6.0,0.0398125,0.0,27437.0,maga,confused,confused,"['Ericheidle', 'Flag_Wavers', 'GoodMedicine406', 'MrsNickiHoerner', 'JOHNABRINK1', 'TheDailyClimate', 'The_Grk', 'RandyAW']","#nike,#y2k,#2020,#election,#election2020,#2020election,#maga,#gojoe,#trump,#biden,#america,#godblessamerica","['#nike,#y2k,#2020,#election,#election2020,#2020election,#maga,#gojoe,#trump,#biden,#america,#godblessamerica']",['with apologies to nike nike yk  election election election maga gojoe trump biden america godblessamerica'],MT
Montana,2020-11-04,15,23.0,0.09945333333333334,0.0,7348.0,racist,disgusting,congressional electoral,"['InBrokenCountry', 'MrsNickiHoerner', 'CarlsonSid', '1darrahanne', 'montana4life_', 'Flag_Wavers', 'alisonbuckley', 'oilpatchkid']",#biden,['#biden'],['gotta love america between trump or biden got people still fighting over whos racist'],MT
